Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Season
7.0,Sat,2023-10-07,15:30,RB Leipzig,2.5,0–0,0.4,Bochum,44269.0,Red Bull Arena,Timo Gerach,Match Report,,2024
7.0,Sat,2023-10-07,15:30,Dortmund,1.6,4–2,1.4,Union Berlin,81365.0,Signal Iduna Park,Patrick Ittrich,Match Report,,2024
7.0,Sat,2023-10-07,15:30,Augsburg,0.9,1–2,1.8,Darmstadt 98,29200.0,WWK Arena,Deniz Aytekin,Match Report,,2024
7.0,Sat,2023-10-07,15:30,Stuttgart,2.7,3–1,1.2,Wolfsburg,52000.0,MHPArena,Daniel Siebert,Match Report,,2024
7.0,Sat,2023-10-07,18:30,Werder Bremen,0.8,2–3,1.9,Hoffenheim,41000.0,Wohninvest Weserstadion,Christian Dingert,Match Report,,2024
7.0,Sun,2023-10-08,15:30,Leverkusen,3.2,3–0,1.3,Köln,30210.0,BayArena,Felix Zwayer,Match Report,,2024
7.0,Sun,2023-10-08,17:30,Bayern Munich,2.4,3–0,0.1,Freiburg,75000.0,Allianz Arena,Robert Schröder,Match Report,,2024
7.0,Sun,2023-10-08,19:30,Eint Frankfurt,1.9,2–0,1.2,Heidenheim,55800.0,Deutsche Bank Park,Daniel Schlager,Match Report,,2024
,,,,,,,,,,,,,,2024
8.0,Fri,2023-10-20,20:30,Dortmund,2.6,1–0,0.4,Werder Bremen,81365.0,Signal Iduna Park,Felix Brych,Match Report,,2024
8.0,Sat,2023-10-21,15:30,Freiburg,2.3,2–1,1.5,Bochum,33900.0,Europa-Park Stadion,Tobias Reichel,Match Report,,2024
8.0,Sat,2023-10-21,15:30,Darmstadt 98,2.4,1–3,1.9,RB Leipzig,17810.0,Merck-Stadion am Böllenfalltor,Harm Osmers,Match Report,,2024
8.0,Sat,2023-10-21,15:30,Wolfsburg,1.4,1–2,1.9,Leverkusen,28917.0,Volkswagen Arena,Marco Fritz,Match Report,,2024
8.0,Sat,2023-10-21,15:30,Union Berlin,0.6,0–3,1.4,Stuttgart,22012.0,Stadion An der Alten Försterei,Bastian Dankert,Match Report,,2024
8.0,Sat,2023-10-21,15:30,Hoffenheim,1.4,1–3,2.4,Eint Frankfurt,30150.0,PreZero Arena,Matthias Jöllenbeck,Match Report,,2024
8.0,Sat,2023-10-21,18:30,Mainz 05,1.1,1–3,1.8,Bayern Munich,33305.0,Mewa Arena,Sascha Stegemann,Match Report,,2024
8.0,Sun,2023-10-22,15:30,Köln,2.7,3–1,0.3,M'Gladbach,50000.0,RheinEnergieSTADION,Deniz Aytekin,Match Report,,2024
8.0,Sun,2023-10-22,17:30,Heidenheim,1.5,2–5,2.5,Augsburg,15000.0,Voith-Arena,Tobias Stieler,Match Report,,2024
,,,,,,,,,,,,,,2024
9.0,Fri,2023-10-27,20:30,Bochum,1.4,2–2,0.4,Mainz 05,26000.0,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,,2024
9.0,Sat,2023-10-28,15:30,M'Gladbach,1.0,2–1,0.4,Heidenheim,51541.0,Stadion im Borussia-Park,Robert Hartmann,Match Report,,2024
9.0,Sat,2023-10-28,15:30,Werder Bremen,0.8,2–0,0.6,Union Berlin,42100.0,Wohninvest Weserstadion,Tobias Stieler,Match Report,,2024
9.0,Sat,2023-10-28,15:30,Augsburg,1.4,3–2,1.4,Wolfsburg,28000.0,WWK Arena,Daniel Schlager,Match Report,,2024
9.0,Sat,2023-10-28,15:30,Stuttgart,3.6,2–3,1.7,Hoffenheim,53200.0,MHPArena,Felix Zwayer,Match Report,,2024
9.0,Sat,2023-10-28,15:30,Bayern Munich,5.8,8–0,0.7,Darmstadt 98,75000.0,Allianz Arena,Martin Petersen,Match Report,,2024
9.0,Sat,2023-10-28,18:30,RB Leipzig,4.2,6–0,0.9,Köln,46480.0,Red Bull Arena,Benjamin Brand,Match Report,,2024
9.0,Sun,2023-10-29,15:30,Eint Frankfurt,2.2,3–3,2.2,Dortmund,56500.0,Deutsche Bank Park,Robert Schröder,Match Report,,2024
